"plant_state","commercial_operation_release_year","unit_count","plant_count","total_commercial_released_power_kw","total_commercial_released_power_mw"
"BA","2012","20","3","123580","123,58"
"BA","2013","17","5","166000","166"
"BA","2014","27","25","608500","608,5"
"BA","2015","47","14","390700","390,7"
"BA","2016","41","21","517750","517,75"
"BA","2017","21","19","516600","516,6"
"BA","2018","67","46","1258250","1258,25"
"BA","2019","29","28","509400","509,4"
"BA","2020","154","18","539755","539,755"
"BA","2021","236","33","960300","960,3"
"BA","2022","343","52","1287025","1287,025"
"BA","2023","367","56","1819500","1819,5"
"BA","2024","424","59","2058600","2058,6"
"BA","2025","247","29","1115200","1115,2"
"CE","2008","4","4","74000","74"
"CE","2009","5","5","216200","216,2"
"CE","2010","5","5","209300","209,3"
"CE","2012","2","2","67500","67,5"
"CE","2013","3","3","72192","72,192"
"CE","2014","35","22","560204","560,204"
"CE","2015","5","2","14000","14"
"CE","2016","24","17","387230","387,23"
"CE","2017","17","9","217200","217,2"
"CE","2018","23","11","212800","212,8"
"CE","2020","41","5","123000","123"
"CE","2021","78","14","327600","327,6"
"CE","2022","17","1","71400","71,4"
"CE","2024","16","2","72000","72"
"CE","2025","9","1","40500","40,5"
"MA","2017","38","8","220800","220,8"
"MA","2018","11","2","37800","37,8"
"MA","2019","26","6","167400","167,4"
"PB","2007","1","1","10200","10,2"
"PB","2009","10","10","48000","48"
"PB","2010","1","1","4500","4,5"
"PB","2011","3","1","6300","6,3"
"PB","2017","4","3","94500","94,5"
"PB","2021","125","15","433125","433,125"
"PB","2022","15","4","60115","60,115"
"PB","2023","58","9","324400","324,4"
"PB","2024","23","4","133400","133,4"
"PE","2010","5","5","24750","24,75"
"PE","2015","16","14","352445","352,445"
"PE","2016","12","10","268990","268,99"
"PE","2017","22","6","135700","135,7"
"PE","2021","18","2","99000","99"
"PE","2022","24","3","105900","105,9"
"PE","2023","18","3","81000","81"
"PE","2024","35","4","176700","176,7"
"PI","2008","1","1","15300","15,3"
"PI","2009","1","1","2700","2,7"
"PI","2014","5","3","70000","70"
"PI","2015","20","14","415100","415,1"
"PI","2016","29","14","382100","382,1"
"PI","2017","62","20","539000","539"
"PI","2018","35","8","276000","276"
"PI","2020","133","12","417450","417,45"
"PI","2021","114","11","377300","377,3"
"PI","2022","165","23","827400","827,4"
"PI","2023","109","18","608100","608,1"
"PI","2024","94","15","536700","536,7"
"RN","2010","1","1","51000","51"
"RN","2011","7","6","120050","120,05"
"RN","2012","13","4","153000","153"
"RN","2013","5","2","48000","48"
"RN","2014","65","47","1301450","1301,45"
"RN","2015","44","25","674560","674,56"
"RN","2016","85","36","915340","915,34"
"RN","2017","21","9","265100","265,1"
"RN","2018","29","13","300000","300"
"RN","2019","40","14","305060","305,06"
"RN","2020","171","17","641820","641,82"
"RN","2021","384","36","1496995","1496,995"
"RN","2022","140","21","559705","559,705"
"RN","2023","446","54","2086000","2086"
"RN","2024","221","33","1110900","1110,9"
"RN","2025","134","11","615600","615,6"
"RN","2026","13","1","58500","58,5"
"SE","2012","1","1","34500","34,5"
